,,,,,,1,1,,,,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
ID,City_District,State_Region,Country,Month_of_Onset,End_Month,Month_of_Onset_rescaled,End_Month_rescaled,Year,No_Cases,No_Deaths,CFR_%,Mean_Age,Age_SD,Age_Range,%_Male,Abd_Cramps,Abd_Pain,Abn_Pupil_Reflex,Abn_Pupil_Size,Acute_Renal_Failure,AMS,Anorexia,Ascites,Bilateral_Parotitis,Bulging_Fontanel,Chest_Pain,CNS_Symptoms,Conjunctival_Hem,Conjunctivitis,Constipation,Cough_Cold,Cranial_Nerve_Palsy,Diarrhea,Dizziness,Drowsiness,Dysentery,Ecchymosis,ECG_Changes,Edema,Epistaxis,Fever,Flushing,Gum_Bleeds,Headache,Hematemesis,Hematuria,Hemiparesis,Hemiplegia,Hemorrahage,Hepatamegaly,Hepatic_Enceph,Hypertonia,Hypotension,Hypotonia,Infective_Endarteritis,Intestinal_Perforation,Involunatry_Movements,Irritability,Jaundice,Joint_Pain,Kernig_Sign,Lethargy,Lower_Resp_Inf,Mean_GCS,Melena,Menorrhagia,Myalgia,Nausea,Neck_Rigidity,Otitis_Media,Pleural_Effusion,Pneumonia,Poor_Feeding,Pos_Tourniquet,Posturing,Pruritis,Quadriparesis,Rash,Respiratory_Diff,Retro_Orbital_Pain,Rigidity,Seizure,Shock,Skin_Bleeds,Sore_Throat,Spasticity,Splenomegaly,Unconsciousness,Unilateral_Parotitis,Vomiting,Weakness,Disease,,No.
125,,,Bangladesh,4,,33.33333333,,2001,28,9,32.1,adults,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,Nipah,ENC,4
126,Companiganj upazila ,,Bangladesh,6,,50,,2001,UNK,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,ENC,5
127, ,,Bangladesh,1,,8.333333333,,2004,66,20,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,100,,100,,Nipah,,6
128,,,Bangladesh,3,,25,,2004,34,26,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,100,,100,,Nipah,,7
129,Bashail upazila ,,Bangladesh,1,,8.333333333,,2005,>20,12,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,Nipah,,8
130,Khajanagar and Kaburhat villages ,,Bangladesh,4,,33.33333333,,2007,>50,6,12,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nipah,,10
131,,,Bangladesh,4,,33.33333333,,2007,UNK,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,Diagnosed,,11
132,Numerous,,Bangladesh,7,,58.33333333,,2007,275,UNK,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,,,,100,,100,,Diagnosed,,12
133,Beloya Village,,Bangladesh,1,,8.333333333,,2007,5,3,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,RESP,9
134,Goainghat near Sylhet town,,Bangladesh,11,,91.66666667,,2007,>200,21,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,Undiagnosed,ENC,13
135,Netrakona,,Bangladesh,7,,58.33333333,,2008,6,3,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,?,14
136,Muzaffarpur District,,India,6,,50,,1995,466,167,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,100,,,,Undiagnosed,ENC,35
137,North Lakhimpur district and Dhemaji area ,,India,8,,66.66666667,,1998,UNK,UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,ENC,36
138,"Nalgonda, Guntur and other districts",,India,10,,83.33333333,,1998,524,201,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,ENC,37
139,,,India,11,,91.66666667,,1998,1027,167,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,ENC,38
140,Gorakhpur,,India,8,,66.66666667,,1999,UNK,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,,40
141,,,India,11,,91.66666667,,1999,UNK,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,,41
142,,,India,3,,25,,1999,98,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,RESP,39
143,,,India,7,,58.33333333,,2000,UNK,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,?,42
144,,,India,7,,58.33333333,,2000,UNK,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,ENC,43
145,,,India,2,,16.66666667,,2001,111,45,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,ENC,44
146,Murshidabad,,India,6,,50,,2001,17,3,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,Undiagnosed,ENC,45
147,,,India,8,,66.66666667,,2001,>320,75,23.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,ENC,46
148,,,India,10,,83.33333333,,2002,UNK,100,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,100,,Diagnosed,,49
149,Chhara village of Kodinar taluka in Junagadh,,India,11,,91.66666667,,2002,173,38,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,,50
150,Bhojpur District,,India,1,,8.333333333,,2002,>24,5,20.83333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,ENC,47
151,,,India,4,,33.33333333,,2002,8,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,Enc,*
152,Bankura,,India,8,,66.66666667,,2002,1000,UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,RESP,48
153,Shimoga,,India,6,,50,,2003,>500,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnosed,Enc,51
154,Murshidabad District,,India,5,,41.66666667,,2003,719,45,6.3,,,,,,,,,,,,,,,,,,,,100,,100,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,,,,,,,,Diagnosed,RESP,52
155, Maharashtra,,India,6,,50,,2003,UNK,250,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,100,,,,,,,,,,Undiagnosed,ENC,53
156,Gandhinagar district,,India,9,,75,,2003,150,4,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Undiagnosed,?,54
157,,,India,9,,75,,2003,100,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,100,,,,Undiagnosed,ENC,55
158,,,India,9,,75,,2003,425,63,14.8,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,100,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,100,,100,,Undiagnosed,ENC,56
