Master_clean symptom,Symptom in gideon matrix,Similar symptoms in gideon matrix
Abd_Cramps,,"Abdominal Distension, Muscle Spasms, Pain Abdominal"
Abd_Pain,Pain Abdominal,
Abn_Pupil_Reflex,,
Abn_Pupil_Size,Dilated Pupils,
Acute_Renal_Failure,Renal Dysfunction,
AMS,,
Anorexia,Anorexia,
Ascites,Peritoneal Signs,
Bilateral_Parotitis,Parotitis,
Bulging_Fontanel,,
Chest_Pain,Pain Chest,
CNS_Symptoms,,
Conjunctival_Hem,,
Conjunctivitis,Conjunctivitis,
Constipation,Constipation,
Cough_Cold,Cough,
Cranial_Nerve_Palsy,Cranial or Facial Nerve Involvement,
Diarrhea,Diarrhea,
Dizziness,Vertigo,
Drowsiness,Fatigue,
Dysentery,Dysentery,
Ecchymosis,,
ECG_Changes,,"Bradycardia, Cardiac Myopathy, Tachycardia"
Edema,Edema,
Epistaxis,,
Fever,Fever,
Flushing,Facial Flush,
Gum_Bleeds,,
Headache,Headache,
Hematemesis,Hematemesis,
Hematuria,Hematuria,
Hemiparesis,,
Hemiplegia,Paralysis,
Hemorrahage,Hemorrhagic Manifestations,
Hepatamegaly,Hepatomegaly,
Hepatic_Enceph,,
Hypertonia,,
Hypotension,Hypotension,
Hypotonia,,
Infective_Endarteritis,,
Intestinal_Perforation,,
Involunatry_Movements,,"Muscle Spasms, Seizures"
Irritability,,
Jaundice,Jaundice,
Joint_Pain,,
Kernig_Sign,,
Lethargy,Lethargy,
Lower_Resp_Inf,Respiratory Infection,
Mean_GCS,Coma,
Melena,Hemorrhages Gastrointestinal,
Menorrhagia,,
Myalgia,Myalgia,
Nausea,Nausea,
Neck_Rigidity,Stiff Neck,
Otitis_Media,Otitis,
Pleural_Effusion,Pulmonary Symptoms,
Pneumonia,Pneumonia,
Poor_Feeding,,Trismus
Pos_Tourniquet,,
Posturing,,Gait Disturbance
Pruritis,Pruritis,
Quadriparesis,,
Rash,Skin Rash,
Respiratory_Diff,Respiratory Illness,
Retro_Orbital_Pain,Pain Eye,
Rigidity,,
Seizure,Seizure,
Shock,,
Skin_Bleeds,,
Sore_Throat,Sore Throat,
Spasticity,,
Splenomegaly,Splenomegaly,
Unconsciousness,,"Coma, Neurological Symptoms"
Unilateral_Parotitis,Parotitis,
Vomiting,Vomiting,
Weakness,,
